,pitcher_id
1219,595909
1220,592836
1221,643376
1222,542340
1223,434442
1224,500207
1225,623184
1226,591693
1227,430598
1228,466412
1229,572876
1230,527038
1231,620982
1232,642545
1233,544993
1234,542364
1235,435221
1236,665742
1237,641680
1238,451705
1239,621261
1240,573188
1241,630111
1242,642098
1243,459431
1244,430321
1245,534947
1246,117244
1247,450527
1248,592279
1249,519237
1250,488846
1251,605154
1252,598287
1253,452293
1254,346795
1255,474832
1256,592662
1257,467100
1258,435520
1259,519259
1260,491676
1261,433578
1262,620446
1263,150324
1264,641745
1265,656582
1266,595238
1267,518655
1268,608348
1269,664129
1270,624513
1271,460024
1272,500610
1273,471911
1274,134321
1275,665489
1276,502082
1277,518614
1278,430963
1279,430605
1280,664040
1281,449170
1282,543178
1283,502226
1284,462089
1285,453381
1286,621385
1287,645277
1288,641838
1289,641958
1290,666198
1291,408042
1292,474599
1293,671277
1294,641929
1295,663567
1296,571057
1297,607208
1298,592663
1299,425659
1300,453311
1301,621453
1302,663538
1303,642840
1304,444468
1305,502582
1306,668665
1307,150122
1308,537953
1309,518542
1310,466918
1311,492802
1312,453068
1313,430895
1314,543017
1315,120691
1316,462102
1317,434679
1318,445193
1319,595281
1320,542923
1321,643418
1322,570731
1323,276547
1324,543070
1325,488811
1326,469097
1327,573046
1328,642423
1329,435622
1330,425686
1331,407819
1332,516770
1333,547957
1334,123041
1335,641438
1336,346859
1337,641571
1338,502151
1339,642165
1340,452733
1341,664126
1342,613317
1343,547749
1344,650859
1345,502609
1346,572253
1347,543495
1348,444446
1349,573204
1350,502023
1351,663765
1352,435081
1353,434565
1354,543459
1355,608715
1356,457461
1357,448605
1358,458537
1359,543503
1360,572227
1361,445246
1362,453172
1363,459939
1364,502249
1365,425834
1366,497807
1367,275933
1368,434540
1369,596143
1370,491646
1371,448159
1372,488819
1373,595235
1374,519141
1375,669221
1376,622250
1377,449774
1378,608700
1379,592348
1380,489295
1381,458567
1382,547348
1383,464341
1384,450832
1385,572070
1386,518713
1387,542587
1388,594987
1389,453064
1390,459429
1391,503569
1392,488771
1393,150221
1394,592261
1395,673357
1396,602115
1397,240694
1398,607430
1399,621028
1400,134260
1401,457508
1402,594992
1403,547820
1404,207267
1405,572751
1406,519145
1407,592135
1408,570639
1409,407833
1410,519295
1411,518782
1412,135783
1413,571740
1414,407576
1415,656354
1416,460131
1417,547179
1418,213680
1419,465629
1420,518875
1421,407831
1422,571656
1423,457448
1424,605397
1425,608339
1426,448609
1427,605540
1428,474865
1429,453562
1430,425509
1431,658551
1432,547874
1433,516414
1434,457449
1435,641583
1436,516969
1437,628338
1438,502522
1439,621044
1440,425556
1441,621532
1442,594798
1443,605121
1444,664045
1445,429717
1446,453186
1447,430565
1448,435044
1449,592166
1450,543819
1451,450729
1452,623454
1453,650813
1454,430622
1455,519437
1456,502202
1457,501985
1458,593528
1459,605135
1460,656738
1461,519025
1462,457705
1463,462522
1464,608365
1465,456781
1466,450315
1467,594694
1468,518863
1469,592170
1470,572990
1471,656541
1472,434563
1473,543766
1474,606983
1475,543734
1476,623354
1477,642100
1478,641541
1479,421064
1480,407812
1481,643256
1482,453568
1483,600917
1484,430935
1485,571787
1486,456422
1487,408211
1488,650895
1489,663330
1490,463610
1491,433586
1492,608070
1493,425487
1494,641343
1495,663757
1496,449777
1497,456715
1498,657024
1499,340393
1500,657681
1501,501563
1502,596101
1503,606162
1504,579799
1505,593582
1506,518444
1507,621121
1508,206551
1509,641835
1510,465041
1511,661403
1512,434660
1513,450351
1514,519107
1515,572182
1516,623993
1517,501593
1518,642239
1519,596043
1520,628333
1521,465674
1522,468396
1523,596035
1524,608324
1525,457517
1526,594951
1527,592464
1528,502481
1529,516782
1530,621237
1531,466459
1532,491703
1533,621112
1534,622497
1535,571918
1536,400023
1537,120485
1538,408206
1539,515052
1540,660271
1541,541652
1542,605479
1543,621097
1544,570481
1545,446308
1546,628336
1547,425766
1548,452237
1549,493337
1550,606988
1551,593527
1552,489277
1553,570256
1554,544925
1555,519085
1556,553878
1557,431151
1558,656305
1559,624407
1560,553872
1561,621141
1562,650619
1563,596451
1564,123272
1565,452234
1566,477186
1567,518617
1568,453198
1569,453889
1570,459345
1571,570717
1572,663978
1573,346798
1574,425853
1575,593679
1576,136770
1577,643565
1578,608384
1579,435619
1580,454535
1581,445971
1582,607968
1583,518553
1584,663855
1585,621209
1586,641871
1587,572089
1588,543606
1589,435559
1590,592791
1591,519110
1592,453228
1593,602083
1594,493128
1595,456776
1596,595465
1597,608686
1598,594988
1599,640460
1600,450203
1601,518560
1602,517370
1603,608325
1604,607215
1605,113028
1606,621397
1607,502188
1608,657097
1609,502161
1610,516684
1611,460366
1612,211041
1613,647304
1614,502457
1615,643354
1616,435062
1617,456102
1618,592341
1619,643355
1620,425146
1621,542583
1622,518516
1623,501255
1624,607068
1625,457796
1626,500779
1627,594828
1628,400140
1629,572041
1630,594555
1631,446367
1632,430001
1633,518649
1634,612272
1635,452232
1636,594838
1637,571527
1638,664918
1639,501571
1640,445170
1641,346847
1642,279824
1643,276354
1644,608701
1645,519058
1646,434643
1647,275930
1648,571473
1649,489189
1650,501381
1651,547007
1652,489138
1653,624577
1654,642571
1655,430593
1656,455113
1657,500724
1658,622194
1659,458678
1660,459964
1661,476134
1662,502158
1663,434958
1664,571476
1665,476811
1666,596816
1667,543508
1668,518397
1669,111072
1670,592866
1671,435298
1672,502409
1673,520976
1674,671790
1675,669288
1676,502130
1677,648737
1678,476570
1679,543424
1680,621512
1681,408305
1682,532077
1683,435358
1684,593372
1685,642136
1686,453303
1687,452722
1688,672335
1689,455090
1690,430961
1691,502208
1692,656976
1693,458006
1694,572827
1695,150439
1696,434180
1697,434663
1698,643603
1699,643338
1700,576788
1701,573027
1702,431094
1703,571871
1704,518960
1705,120044
1706,429712
1707,460086
1708,119125
1709,407893
1710,114739
1711,408242
1712,455091
1713,554431
1714,542883
1715,571697
1716,592351
1717,506673
1718,571745
1719,467092
1720,622092
1721,670950
1722,524968
1723,643275
1724,605446
1725,136860
1726,501993
1727,605152
1728,588751
1729,501647
1730,595956
1731,450275
1732,453515
1733,501920
1734,451629
1735,504083
1736,605170
1737,599096
1738,621438
1739,623323
1740,502624
1741,572283
1742,407793
1743,656252
1744,641755
1745,470462
1746,346793
1747,605347
1748,458731
1749,429666
1750,543174
1751,571735
1752,453269
1753,477557
1754,519412
1755,534428
1756,446345
1757,458919
1758,431171
1759,641582
1760,502126
1761,592743
1762,456034
1763,547172
1764,572863
1765,430663
1766,572383
1767,519443
1768,518700
1769,434682
1770,407862
1771,514669
1772,623520
1773,592122
1774,623470
1775,502621
1776,448753
1777,446044
1778,600524
1779,461848
1780,641645
1781,658648
1782,502239
1783,543521
1784,501954
1785,668227
1786,663698
1787,592781
1788,501227
1789,643466
1790,136660
1791,543643
1792,605525
1793,572096
1794,621035
1795,664057
1796,501625
1797,657141
1798,451089
1799,448269
1800,407832
1801,657077
1802,430591
1803,642547
1804,641878
1805,136722
1806,601713
1807,452220
1808,621559
1809,430668
1810,446373
1811,452666
1812,490063
1813,592426
1814,593523
1815,137002
1816,664196
1817,425902
1818,608671
1819,605357
1820,572114
1821,453236
1822,407791
1823,425661
1824,115732
1825,494686
1826,430203
1827,542942
1828,571561
1829,519208
1830,440351
1831,434704
1832,607067
1833,621056
1834,544836
1835,285078
1836,493351
1837,519043
1838,464426
1839,592274
1840,542881
1841,543401
1842,506560
1843,543144
1844,573064
1845,605439
1846,594985
1847,462564
1848,458668
1849,659275
1850,451491
1851,457711
1852,493137
1853,466948
1854,444135
1855,400154
1856,407842
1857,605304
1858,519023
1859,543507
1860,502211
1861,593140
1862,502205
1863,595014
1864,460099
1865,595307
1866,460349
1867,502671
1868,476595
1869,665487
1870,607732
1871,455369
1872,501835
1873,488862
1874,605795
1875,120903
1876,622168
1877,523261
1878,543484
1879,592717
1880,643335
1881,543706
1882,642008
1883,518900
1884,444126
1885,435043
1886,592130
1887,607481
1888,543760
1889,656756
1890,430632
1891,592710
1892,133321
1893,523265
1894,518490
1895,571761
1896,608331
1897,430911
1898,642162
1899,425785
1900,506703
1901,453646
1902,518927
1903,456030
1904,121125
1905,656427
1906,451600
1907,218894
1908,621244
1909,544369
1910,642094
1911,474249
1912,607054
1913,641820
1914,608716
1915,571841
1916,451713
1917,543475
1918,543257
1919,476451
1920,544365
1921,489413
1922,543001
1923,658668
1924,542992
1925,502676
1926,457456
1927,425496
1928,630263
1929,543213
1930,543038
1931,663411
1932,543629
1933,150289
1934,502010
1935,605480
1936,640470
1937,430674
1938,595284
1939,596271
1940,446641
1941,605309
1942,425631
1943,408212
1944,591741
1945,663465
1946,445169
1947,493127
1948,455605
1949,660162
1950,668800
1951,435180
1952,116539
1953,499864
1954,570560
1955,624507
1956,434668
1957,534606
1958,595943
1959,460077
1960,664761
1961,571602
1962,592731
1963,429714
1964,407878
1965,641505
1966,488740
1967,519203
1968,543894
1969,518716
1970,457803
1971,425543
1972,519166
1973,640455
1974,534812
1975,451088
1976,455378
1977,121250
1978,501814
1979,621043
1980,425784
1981,453329
1982,642721
1983,519445
1984,543408
1985,458730
1986,570805
1987,645801
1988,607192
1989,123790
1990,607297
1991,276351
1992,433579
1993,642133
1994,456045
1995,451143
1996,346797
1997,543219
1998,433585
1999,621389
2000,593423
2001,552640
2002,656725
2003,448674
2004,460322
2005,453353
2006,456496
2007,425226
2008,543331
2009,642772
2010,429710
2011,502381
2012,456379
2013,501317
2014,503437
