,batter_id
1093,456102
1094,643355
1095,592341
1096,657209
1097,425146
1098,680702
1099,518516
1100,463017
1101,607068
1102,457796
1103,500779
1104,446367
1105,518649
1106,612272
1107,571527
1108,605528
1109,664918
1110,445170
1111,346847
1112,605338
1113,279824
1114,434643
1115,543195
1116,571473
1117,489189
1118,656548
1119,501381
1120,547007
1121,489138
1122,642571
1123,607087
1124,474226
1125,500724
1126,458678
1127,476134
1128,502158
1129,434958
1130,571476
1131,476811
1132,596816
1133,543508
1134,518397
1135,592866
1136,435298
1137,671790
1138,502130
1139,648737
1140,476570
1141,543424
1142,669952
1143,532077
1144,593372
1145,425507
1146,672335
1147,455090
1148,663770
1149,502208
1150,458006
1151,572827
1152,434180
