,0
217,https://baseballsavant.mlb.com/savant-player/441368
218,https://baseballsavant.mlb.com/savant-player/669456
219,https://baseballsavant.mlb.com/savant-player/407908
220,https://baseballsavant.mlb.com/savant-player/641853
221,https://baseballsavant.mlb.com/savant-player/518674
222,https://baseballsavant.mlb.com/savant-player/664139
223,https://baseballsavant.mlb.com/savant-player/542866
224,https://baseballsavant.mlb.com/savant-player/594867
225,https://baseballsavant.mlb.com/savant-player/554234
226,https://baseballsavant.mlb.com/savant-player/538227
227,https://baseballsavant.mlb.com/savant-player/282656
228,https://baseballsavant.mlb.com/savant-player/592592
229,https://baseballsavant.mlb.com/savant-player/134320
230,https://baseballsavant.mlb.com/savant-player/456589
231,https://baseballsavant.mlb.com/savant-player/644364
232,https://baseballsavant.mlb.com/savant-player/456713
233,https://baseballsavant.mlb.com/savant-player/502168
234,https://baseballsavant.mlb.com/savant-player/594965
235,https://baseballsavant.mlb.com/savant-player/622103
236,https://baseballsavant.mlb.com/savant-player/435045
237,https://baseballsavant.mlb.com/savant-player/446624
238,https://baseballsavant.mlb.com/savant-player/519263
239,https://baseballsavant.mlb.com/savant-player/520980
240,https://baseballsavant.mlb.com/savant-player/605333
241,https://baseballsavant.mlb.com/savant-player/519008
242,https://baseballsavant.mlb.com/savant-player/641427
243,https://baseballsavant.mlb.com/savant-player/640462
244,https://baseballsavant.mlb.com/savant-player/572021
245,https://baseballsavant.mlb.com/savant-player/467856
246,https://baseballsavant.mlb.com/savant-player/608596
247,https://baseballsavant.mlb.com/savant-player/665759
248,https://baseballsavant.mlb.com/savant-player/136880
249,https://baseballsavant.mlb.com/savant-player/232994
250,https://baseballsavant.mlb.com/savant-player/461766
251,https://baseballsavant.mlb.com/savant-player/517060
252,https://baseballsavant.mlb.com/savant-player/461865
253,https://baseballsavant.mlb.com/savant-player/608717
254,https://baseballsavant.mlb.com/savant-player/543488
255,https://baseballsavant.mlb.com/savant-player/592677
256,https://baseballsavant.mlb.com/savant-player/430606
257,https://baseballsavant.mlb.com/savant-player/456121
258,https://baseballsavant.mlb.com/savant-player/608654
259,https://baseballsavant.mlb.com/savant-player/657566
260,https://baseballsavant.mlb.com/savant-player/425426
261,https://baseballsavant.mlb.com/savant-player/519229
262,https://baseballsavant.mlb.com/savant-player/453895
263,https://baseballsavant.mlb.com/savant-player/458550
264,https://baseballsavant.mlb.com/savant-player/429722
265,https://baseballsavant.mlb.com/savant-player/547982
266,https://baseballsavant.mlb.com/savant-player/606303
267,https://baseballsavant.mlb.com/savant-player/623381
268,https://baseballsavant.mlb.com/savant-player/453249
269,https://baseballsavant.mlb.com/savant-player/476531
270,https://baseballsavant.mlb.com/savant-player/433657
271,https://baseballsavant.mlb.com/savant-player/491624
272,https://baseballsavant.mlb.com/savant-player/425446
273,https://baseballsavant.mlb.com/savant-player/594760
274,https://baseballsavant.mlb.com/savant-player/450308
275,https://baseballsavant.mlb.com/savant-player/622766
276,https://baseballsavant.mlb.com/savant-player/642232
277,https://baseballsavant.mlb.com/savant-player/622864
278,https://baseballsavant.mlb.com/savant-player/450306
279,https://baseballsavant.mlb.com/savant-player/542674
280,https://baseballsavant.mlb.com/savant-player/543867
281,https://baseballsavant.mlb.com/savant-player/623168
282,https://baseballsavant.mlb.com/savant-player/676606
283,https://baseballsavant.mlb.com/savant-player/429780
284,https://baseballsavant.mlb.com/savant-player/596064
285,https://baseballsavant.mlb.com/savant-player/429718
286,https://baseballsavant.mlb.com/savant-player/665733
287,https://baseballsavant.mlb.com/savant-player/476123
288,https://baseballsavant.mlb.com/savant-player/543557
289,https://baseballsavant.mlb.com/savant-player/664353
290,https://baseballsavant.mlb.com/savant-player/502136
291,https://baseballsavant.mlb.com/savant-player/425856
292,https://baseballsavant.mlb.com/savant-player/457754
293,https://baseballsavant.mlb.com/savant-player/448281
294,https://baseballsavant.mlb.com/savant-player/621107
295,https://baseballsavant.mlb.com/savant-player/458155
296,https://baseballsavant.mlb.com/savant-player/594835
297,https://baseballsavant.mlb.com/savant-player/572403
298,https://baseballsavant.mlb.com/savant-player/608328
299,https://baseballsavant.mlb.com/savant-player/645307
300,https://baseballsavant.mlb.com/savant-player/606965
301,https://baseballsavant.mlb.com/savant-player/640463
302,https://baseballsavant.mlb.com/savant-player/450852
303,https://baseballsavant.mlb.com/savant-player/519144
304,https://baseballsavant.mlb.com/savant-player/434298
305,https://baseballsavant.mlb.com/savant-player/553902
306,https://baseballsavant.mlb.com/savant-player/571945
307,https://baseballsavant.mlb.com/savant-player/460576
308,https://baseballsavant.mlb.com/savant-player/571572
309,https://baseballsavant.mlb.com/savant-player/542963
310,https://baseballsavant.mlb.com/savant-player/518489
311,https://baseballsavant.mlb.com/savant-player/519240
312,https://baseballsavant.mlb.com/savant-player/471183
313,https://baseballsavant.mlb.com/savant-player/457732
314,https://baseballsavant.mlb.com/savant-player/467827
315,https://baseballsavant.mlb.com/savant-player/476589
316,https://baseballsavant.mlb.com/savant-player/430629
317,https://baseballsavant.mlb.com/savant-player/672911
318,https://baseballsavant.mlb.com/savant-player/543409
319,https://baseballsavant.mlb.com/savant-player/592593
320,https://baseballsavant.mlb.com/savant-player/453192
321,https://baseballsavant.mlb.com/savant-player/458589
322,https://baseballsavant.mlb.com/savant-player/640444
323,https://baseballsavant.mlb.com/savant-player/571948
324,https://baseballsavant.mlb.com/savant-player/429984
325,https://baseballsavant.mlb.com/savant-player/595032
326,https://baseballsavant.mlb.com/savant-player/605469
327,https://baseballsavant.mlb.com/savant-player/467726
