id,season_played,type,W,L,ERA,G,GS,SV,IP,SO,WHIP
545363,7 Seasons,career,14.0,31.0,5.37,102.0,56.0,0.0,369.0,236.0,1.54
592332,2020,most recent,3.0,3.0,3.62,12.0,10.0,0.0,59.2,79.0,NA
592332,8 Seasons,career,50.0,66.0,4.26,203.0,164.0,0.0,985.1,934.0,1.33
493416,2012,most recent,0.0,0.0,6.75,16.0,0.0,0.0,12.0,11.0,NA
493416,7 Seasons,career,21.0,15.0,2.34,338.0,0.0,84.0,338.0,400.0,1.06
430665,2010,most recent,0.0,0.0,7.20,14.0,0.0,0.0,15.0,8.0,NA
430665,6 Seasons,career,16.0,7.0,3.61,210.0,0.0,1.0,234.2,175.0,1.44
406874,2010,most recent,0.0,0.0,9.72,8.0,0.0,0.0,8.1,9.0,NA
406874,6 Seasons,career,7.0,2.0,4.38,157.0,0.0,13.0,152.0,154.0,1.45
434137,2016,most recent,0.0,0.0,1.93,3.0,0.0,0.0,4.2,1.0,NA
434137,9 Seasons,career,10.0,10.0,5.70,157.0,3.0,2.0,181.2,158.0,1.61
445968,2016,most recent,0.0,1.0,9.00,33.0,0.0,0.0,23.0,21.0,NA
445968,11 Seasons,career,20.0,28.0,5.46,187.0,61.0,2.0,446.1,308.0,1.66
664641,2018,most recent,0.0,0.0,1.80,1.0,1.0,0.0,5.0,5.0,NA
664641,3 Seasons,career,13.0,9.0,4.72,44.0,40.0,0.0,223.0,186.0,1.25
461833,2018,most recent,0.0,0.0,6.34,23.0,2.0,0.0,32.2,32.0,NA
461833,12 Seasons,career,88.0,79.0,4.52,290.0,211.0,3.0,1291.0,1040.0,1.31
446185,2016,most recent,0.0,0.0,9.95,7.0,0.0,0.0,6.1,4.0,NA
446185,6 Seasons,career,21.0,11.0,4.03,288.0,0.0,2.0,277.0,218.0,1.38
519168,2016,most recent,1.0,1.0,9.48,9.0,5.0,0.0,31.1,18.0,NA
519168,3 Seasons,career,5.0,5.0,7.01,20.0,14.0,0.0,86.0,44.0,1.59
621242,2020,most recent,2.0,1.0,1.75,26.0,0.0,6.0,25.2,50.0,NA
621242,5 Seasons,career,8.0,22.0,3.18,280.0,0.0,141.0,274.2,450.0,1.11
606131,2020,most recent,0.0,0.0,5.71,10.0,1.0,0.0,17.1,16.0,NA
606131,5 Seasons,career,20.0,31.0,5.19,133.0,61.0,0.0,444.1,333.0,1.52
543135,2020,most recent,4.0,2.0,3.72,9.0,9.0,0.0,48.1,52.0,NA
543135,9 Seasons,career,50.0,56.0,4.27,188.0,169.0,0.0,966.0,762.0,1.36
543184,2016,most recent,5.0,12.0,4.80,24.0,23.0,0.0,129.1,100.0,NA
543184,4 Seasons,career,10.0,28.0,5.37,124.0,42.0,0.0,296.2,246.0,1.52
458530,2013,most recent,1.0,0.0,3.12,10.0,0.0,0.0,8.2,12.0,NA
458530,1 Season,career,1.0,0.0,3.12,10.0,0.0,0.0,8.2,12.0,1.27
641850,2017,most recent,0.0,0.0,5.19,8.0,0.0,0.0,8.2,8.0,NA
641850,1 Season,career,0.0,0.0,5.19,8.0,0.0,0.0,8.2,8.0,1.62
