id,Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Strike %,Swing %,Whiff %,Meatball %,Meatball Swing %
622663,2017,3082.0,52.8,67.7,79.1,28.1,52.3,41.6,65.1,49.0,28.1,7.9,79.0
622663,2018,3152.0,52.9,67.3,79.6,29.6,56.7,43.2,69.0,49.6,26.8,8.7,76.6
622663,2019,219.0,50.2,63.6,74.3,29.4,68.8,46.6,66.7,46.6,27.5,5.5,66.7
622663,ALL,8747.0,51.8,66.1,80.1,28.3,57.3,42.6,65.5,47.9,26.4,8.1,77.4
622663,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
596057,2015,1035.0,48.3,62.4,87.8,23.6,50.0,41.9,53.4,42.3,23.1,7.1,68.9
596057,2016,1190.0,53.4,63.3,81.6,26.3,55.5,42.1,64.6,46.1,25.4,8.0,71.6
596057,2017,1827.0,50.0,63.1,85.1,24.2,56.6,39.9,55.2,43.6,22.8,8.3,73.0
596057,2018,816.0,51.8,66.4,83.9,26.2,53.4,39.4,58.5,46.9,24.3,9.6,74.4
596057,2019,2361.0,50.0,66.0,87.5,28.3,52.1,41.5,64.4,47.1,23.1,8.6,72.8
596057,2020,490.0,49.2,66.8,82.6,28.5,49.3,42.7,56.0,47.3,27.6,6.7,78.8
596057,ALL,7719.0,50.4,64.5,85.3,26.2,53.2,41.1,59.7,45.5,23.8,8.2,72.7
596057,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
592767,2015,1136.0,51.4,63.4,83.5,31.5,54.0,44.8,60.7,47.9,25.9,8.0,67.0
592767,2016,2893.0,49.9,65.9,81.5,28.3,60.2,42.3,58.4,47.1,24.9,7.7,73.0
592767,2019,2130.0,48.5,64.8,80.9,25.0,57.3,41.8,59.7,44.3,26.0,7.5,72.5
592767,2020,482.0,53.5,64.7,76.6,25.9,32.8,40.7,69.4,46.7,34.7,9.8,72.3
592767,ALL,6641.0,50.0,65.0,81.3,27.6,56.4,42.4,60.0,46.3,26.1,7.8,71.7
592767,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
622783,2018,270.0,47.8,72.1,81.7,17.0,75.0,40.0,50.0,43.3,19.7,7.4,85.0
622783,2019,10.0,70.0,71.4,100.0,33.3,0.0,70.0,80.0,60.0,16.7,10.0,100.0
622783,ALL,280.0,48.6,72.1,82.7,17.4,72.0,41.1,52.1,43.9,19.5,7.5,85.7
622783,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
516769,2015,105.0,48.5,64.0,87.5,37.7,45.0,43.7,44.4,49.5,28.8,7.8,75.0
516769,ALL,105.0,48.5,64.0,87.5,37.7,45.0,43.7,44.4,49.5,28.8,7.8,75.0
516769,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
597113,2018,105.0,50.5,64.2,82.4,36.5,42.1,47.6,59.3,50.5,32.1,7.6,100.0
597113,2019,489.0,49.9,64.3,78.3,26.9,63.6,44.0,64.7,45.6,26.0,8.6,69.0
597113,ALL,594.0,50.0,64.3,79.1,28.6,58.8,44.6,63.6,46.5,27.2,8.4,74.0
597113,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
519455,2015,3103.0,53.6,67.4,87.4,29.4,63.4,42.7,67.6,49.8,19.2,9.7,72.5
519455,2016,1707.0,51.8,66.4,87.8,28.8,69.6,42.5,65.8,48.3,17.5,8.8,70.2
519455,2017,2644.0,53.5,67.8,87.8,27.5,65.7,43.2,67.5,49.1,18.0,8.9,79.7
519455,2018,2076.0,48.0,67.6,86.3,29.9,64.6,47.2,64.9,48.0,20.7,6.8,78.6
519455,2019,1866.0,46.7,65.7,87.4,29.8,64.6,47.2,63.7,46.6,20.4,4.9,77.2
519455,2020,108.0,47.2,74.5,86.8,26.3,66.7,45.4,71.4,49.1,18.9,3.7,75.0
