id,Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,HardHit%,K%,BB%,Whiff%,xERA,FB Velo,FB Spin,CB Spin
595345,2017.0, , , , , , , , , , , , , ,23.0,87.0,53.0
595345,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446321,2015.0, 2, 19, 9, 8, 0, 53, 21, 81, 42, 11, 1, 14, 2,46.0,28.0,22.0
446321,2016.0, 4, 2, 9, 25, 4, 65, 40, 16, 34, 3, 39, 3, 4,44.0,30.0,NA
446321,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446321,2019.0, 2, 4, 2, 4, 6, 37, 11, 9, 16, 4, 41, 1, 2,19.0,32.0,10.0
446321,2020.0, 69, 50, 57, 62, 69, 88, 92, 47, 7, 19, 79, 58, 69,29.0,39.0,12.0
670329,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670329,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465679,2015.0, , , , , , , , , , , , , ,6.0,7.0,75.0
502085,2015.0, 79, 70, 65, 58, 85, 79, 60, 25, 16, 98, 86, 94, 79,53.0,98.0,85.0
502085,2016.0, 86, 94, 86, 69, 74, 72, 40, 84, 89, 88, 5, 89, 86,44.0,98.0,82.0
502085,2017.0, 98, 98, 97, 87, 96, 88, 80, 47, 59, 98, 43, 99, 98,33.0,98.0,83.0
502085,2018.0, 83, 92, 80, 48, 89, 56, 17, 6, 2, 94, 34, 91, 83,44.0,98.0,88.0
502085,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608723,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608723,2019.0, , , , , , , , , , , , , ,45.0,35.0,90.0
608723,2020.0, 18, 23, 10, 10, 30, 6, 20, 29, 17, 27, 57, 19, 18,25.0,50.0,83.0
150302,2015.0, 53, 30, 56, 74, 40, 95, 96, 1, 28, 27, 67, 40, 53,6.0,0.0,NA
434619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595411,2017.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595411,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595411,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670426,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670426,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457915,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457915,2016.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457915,2017.0, , , , , , , , , , , , , ,44.0,8.0,39.0
457915,2018.0, , , , , , , , , , , , , ,60.0,23.0,41.0
457915,2019.0, 49, 42, 29, 22, 69, 47, 30, 28, 39, 25, 81, 6, 49,45.0,14.0,23.0
457915,2020.0, , , , , , , , , , , , , ,33.0,33.0,41.0
453214,2015.0, 49, 75, 42, 18, 63, 47, 18, 68, 80, 26, 25, 47, 49,0.0,2.0,2.0
453214,2016.0, 82, 81, 86, 85, 71, 52, 93, 86, 95, 38, 37, 67, 82,0.0,2.0,3.0
453214,2017.0, , , , , , , , , , , , , ,0.0,2.0,1.0
453214,2018.0, 50, 67, 65, 58, 36, 72, 47, 87, 97, 24, 8, 35, 50,0.0,1.0,1.0
453214,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658305,2019.0, , , , , , , , , , , , , ,64.0,59.0,NA
658305,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640451,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640451,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607359,2015.0, , , , , , , , , , , , , ,50.0,40.0,NA
607359,2016.0, , , , , , , , , , , , , ,50.0,15.0,NA
623451,2017.0, , , , , , , , , , , , , ,63.0,25.0,96.0
623451,2018.0, , , , , , , , , , , , , ,70.0,22.0,99.0
543261,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543261,2016.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543261,2017.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548357,2015.0, 12, 3, 12, 33, 23, 53, 33, 43, 23, 7, 86, 3, 12,19.0,30.0,29.0
548357,2016.0, , , , , , , , , , , , , ,16.0,27.0,29.0
548357,2017.0, 1, 0, 0, 2, 5, 46, 8, 3, 20, 7, 81, 4, 1,6.0,15.0,38.0
548357,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608032,2016.0, 69, 87, 84, 75, 41, 65, 24, 54, 32, 71, 8, 70, 69,98.0,76.0,NA
608032,2017.0, , , , , , , , , , , , , ,95.0,64.0,NA
608032,2019.0, 63, 56, 47, 41, 71, 42, 9, 9, 33, 70, 60, 81, 63,98.0,48.0,NA
608032,2020.0, 12, 9, 12, 19, 14, 28, 9, 3, 7, 50, 60, 39, 12,94.0,28.0,NA
110683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
