id,Year,Pitch Type,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
457567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591701,2017.0, Changeup,1.7,0.0,21.0,16.3,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.03,0.085,0.046,0.0
591701,2017.0, Sinker,18.9,2.0,13.0,10.1,5.0,0.75,1.5,0.9,14.3,0.0,0.0,0.72,1.458,0.873,50.0
591701,2017.0, Curveball,-2.1,-1.0,46.0,35.7,12.0,0.333,0.417,0.329,18.2,25.0,25.0,0.251,0.298,0.242,22.2
591701,2017.0, 4-Seamer,8.8,4.0,48.0,37.2,12.0,0.444,0.889,0.596,11.8,25.0,16.7,0.283,0.369,0.387,50.0
460283,2019.0, Changeup,-1.3,-1.0,46.0,8.2,9.0,0.222,0.222,0.2,28.0,0.0,0.0,0.453,0.814,0.521,55.6
460283,2019.0, Curveball,-4.5,-12.0,274.0,49.1,63.0,0.07,0.105,0.135,41.5,46.0,26.6,0.101,0.143,0.16,10.7
460283,2019.0, 4-Seamer,3.3,8.0,238.0,42.7,67.0,0.345,0.691,0.483,9.0,11.9,15.7,0.392,0.754,0.503,49.0
460283,2018.0, Changeup,-2.5,-2.0,66.0,8.5,13.0,0.083,0.083,0.123,25.0,15.4,22.2,0.161,0.193,0.198,10.0
460283,2018.0, Curveball,1.5,5.0,310.0,39.8,78.0,0.239,0.373,0.332,33.3,26.9,18.9,0.223,0.334,0.302,25.5
460283,2018.0, 4-Seamer,-0.2,-1.0,403.0,51.7,96.0,0.235,0.457,0.355,18.2,18.8,18.8,0.206,0.467,0.348,38.1
460283,2017.0, Sinker,-3.7,0.0,7.0,0.8,2.0,0.5,0.5,0.45,0.0,0.0,0.0,0.223,0.332,0.276,0.0
460283,2017.0, Changeup,1.7,1.0,38.0,4.2,7.0,0.5,1.0,0.643,36.4,28.6,33.3,0.325,0.707,0.463,50.0
460283,2017.0, 4-Seamer,2.4,10.0,407.0,44.5,78.0,0.328,0.557,0.475,13.1,19.2,17.2,0.283,0.445,0.393,31.9
460283,2017.0, Curveball,-3.1,-14.0,455.0,49.8,126.0,0.162,0.171,0.188,45.8,40.5,30.2,0.137,0.167,0.175,7.6
656887,2020.0, Changeup,8.4,1.0,8.0,6.0,1.0,0.7,50.0,0.0,0.0,0.7,NA,NA,NA,NA,NA
656887,2020.0, Slider,-4.2,-2.0,41.0,30.8,12.0,0.167,0.167,0.225,26.3,16.7,20.0,0.267,0.301,0.246,30.0
656887,2020.0, 4-Seamer,-0.9,-1.0,84.0,63.2,16.0,0.083,0.083,0.231,30.8,25.0,17.4,0.103,0.124,0.249,37.5
656887,2019.0, Sinker,9.5,1.0,9.0,1.5,2.0,0.0,0.0,0.45,20.0,0.0,0.0,0.027,0.033,0.026,0.0
656887,2019.0, Curveball,-1.5,-1.0,45.0,7.4,9.0,0.25,0.25,0.278,21.1,33.3,18.8,0.176,0.226,0.233,40.0
656887,2019.0, Changeup,-0.4,0.0,53.0,8.7,15.0,0.333,0.667,0.42,7.7,0.0,0.0,0.29,0.451,0.312,40.0
656887,2019.0, Slider,-0.4,-1.0,208.0,34.0,55.0,0.229,0.375,0.332,25.5,20.0,15.5,0.218,0.393,0.311,24.3
656887,2019.0, 4-Seamer,0.6,2.0,297.0,48.5,69.0,0.283,0.491,0.411,26.4,20.3,18.7,0.298,0.522,0.417,50.0
656887,2018.0, Changeup,3.5,2.0,51.0,8.0,7.0,0.5,1.0,0.643,23.8,0.0,0.0,0.413,0.833,0.561,66.7
656887,2018.0, Curveball,3.3,1.0,33.0,5.2,12.0,0.3,0.3,0.283,20.0,25.0,15.8,0.3,0.354,0.32,25.0
656887,2018.0, Sinker,2.2,1.0,55.0,8.6,12.0,0.429,0.571,0.546,11.8,8.3,25.0,0.219,0.508,0.474,50.0
656887,2018.0, Slider,-4.7,-7.0,151.0,23.7,46.0,0.095,0.119,0.166,37.1,43.5,37.7,0.106,0.126,0.157,13.6
656887,2018.0, 4-Seamer,2.3,8.0,346.0,54.4,73.0,0.29,0.613,0.439,29.0,24.7,17.1,0.262,0.506,0.381,40.9
502009,2017.0, Changeup,0.6,0.0,21.0,8.0,4.0,0.25,0.5,0.313,41.7,25.0,14.3,0.158,0.167,0.142,0.0
502009,2017.0, Sinker,11.1,5.0,46.0,17.6,11.0,0.444,1.0,0.618,5.6,0.0,0.0,0.315,0.633,0.454,44.4
502009,2017.0, Slider,1.3,1.0,77.0,29.4,21.0,0.222,0.5,0.357,37.8,33.3,20.6,0.145,0.259,0.246,27.3
502009,2017.0, 4-Seamer,-0.7,-1.0,108.0,41.2,32.0,0.345,0.69,0.461,21.2,3.1,5.6,0.406,0.761,0.508,50.0
502009,2017.0, Curveball,-1.4,0.0,8.0,3.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493157,2017.0, Slider,3.6,1.0,17.0,2.5,3.0,0.667,0.667,0.45,37.5,0.0,0.0,0.472,0.589,0.458,0.0
493157,2017.0, Sinker,4.1,1.0,14.0,2.1,3.0,0.5,1.0,0.65,20.0,33.3,50.0,0.475,0.604,0.546,100.0
493157,2017.0, Splitter,-0.3,-1.0,217.0,32.1,64.0,0.25,0.367,0.276,37.8,29.7,24.4,0.284,0.464,0.326,30.2
493157,2017.0, 4-Seamer,-0.3,-1.0,424.0,62.7,104.0,0.204,0.398,0.289,28.3,27.9,22.5,0.237,0.46,0.315,36.2
607200,2020.0, Splitter,-2.6,-2.0,81.0,9.5,21.0,0.095,0.238,0.181,20.7,19.0,16.7,0.212,0.32,0.223,41.2
607200,2020.0, Curveball,-0.8,-1.0,156.0,18.4,30.0,0.214,0.393,0.287,28.1,13.3,8.5,0.259,0.394,0.296,25.0
607200,2020.0, 4-Seamer,-2.1,-2.0,99.0,11.6,31.0,0.25,0.536,0.365,11.3,9.7,10.3,0.301,0.543,0.375,48.0
607200,2020.0, Cutter,1.2,2.0,141.0,16.6,33.0,0.259,0.407,0.389,24.6,9.1,7.0,0.257,0.345,0.338,37.5
607200,2020.0, Sinker,0.5,2.0,373.0,43.9,105.0,0.275,0.484,0.392,7.6,13.3,17.1,0.303,0.53,0.378,41.8
607200,2019.0, Splitter,-0.1,0.0,91.0,7.1,21.0,0.263,0.421,0.313,21.6,19.0,14.3,0.283,0.558,0.363,37.5
607200,2019.0, 4-Seamer,1.0,2.0,179.0,13.9,48.0,0.333,0.5,0.397,6.5,10.4,10.9,0.356,0.594,0.433,36.8
607200,2019.0, Curveball,0.2,1.0,255.0,19.8,62.0,0.267,0.467,0.324,32.8,30.6,18.1,0.223,0.388,0.272,29.3
607200,2019.0, Cutter,-2.1,-5.0,230.0,17.9,63.0,0.164,0.309,0.281,22.7,6.3,7.7,0.257,0.418,0.337,32.7
607200,2019.0, Sinker,1.0,5.0,532.0,41.3,138.0,0.316,0.496,0.402,6.5,6.5,7.5,0.388,0.617,0.462,48.6
607200,2018.0, 4-Seamer,0.2,0.0,43.0,4.6,8.0,0.143,0.143,0.2,18.2,25.0,12.5,0.233,0.263,0.279,40.0
607200,2018.0, Curveball,0.0,0.0,55.0,5.8,11.0,0.364,0.545,0.391,23.1,9.1,5.0,0.351,0.646,0.427,40.0
607200,2018.0, Splitter,2.1,2.0,113.0,12.0,20.0,0.316,0.737,0.474,14.6,15.0,13.0,0.367,0.73,0.479,50.0
607200,2018.0, Cutter,2.4,3.0,125.0,13.2,26.0,0.417,0.625,0.469,29.0,23.1,12.5,0.279,0.409,0.331,33.3
607200,2018.0, Slider,-0.4,-1.0,141.0,14.9,35.0,0.182,0.455,0.267,50.0,51.4,31.6,0.154,0.32,0.225,25.0
607200,2018.0, Sinker,0.3,2.0,467.0,49.4,116.0,0.286,0.439,0.367,15.1,13.8,13.4,0.311,0.503,0.409,53.6
607200,2017.0, Curveball,0.8,0.0,30.0,10.1,3.0,0.667,0.667,0.6,12.5,0.0,0.0,0.258,0.336,0.283,0.0
607200,2017.0, 4-Seamer,11.9,2.0,16.0,5.4,4.0,0.333,1.333,0.9,16.7,25.0,16.7,0.435,1.465,0.743,50.0
607200,2017.0, Cutter,-2.1,0.0,23.0,7.7,5.0,0.2,0.2,0.18,0.0,0.0,0.0,0.163,0.34,0.207,20.0
607200,2017.0, Slider,8.1,1.0,17.0,5.7,7.0,0.5,1.0,0.633,37.5,28.6,20.0,0.371,0.54,0.389,20.0
607200,2017.0, Splitter,0.8,1.0,64.0,21.5,18.0,0.25,0.75,0.424,26.9,27.8,20.0,0.331,0.702,0.451,50.0
607200,2017.0, Sinker,3.6,5.0,148.0,49.7,37.0,0.438,0.531,0.466,12.3,18.9,13.2,0.308,0.457,0.387,36.0
545001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664869,2018.0, Slider,-1.2,0.0,16.0,11.9,5.0,0.4,0.4,0.36,44.4,40.0,40.0,0.2,0.269,0.21,33.3
664869,2018.0, Changeup,3.3,1.0,35.0,25.9,8.0,0.375,0.5,0.381,7.7,0.0,0.0,0.332,0.364,0.317,12.5
664869,2018.0, 4-Seamer,14.0,3.0,23.0,17.0,9.0,0.625,1.625,0.9,0.0,11.1,16.7,0.453,1.042,0.637,85.7
664869,2018.0, Sinker,1.2,1.0,59.0,43.7,16.0,0.333,0.467,0.369,21.7,12.5,33.3,0.303,0.484,0.358,38.5
664869,2018.0, Curveball,3.7,0.0,2.0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
642564,2017.0, Sinker,59.8,1.0,1.0,0.1,1.0,1.0,2.0,1.25,0.0,0.0,0.521,0.982,0.615,100.0,NA
642564,2017.0, Changeup,-0.4,0.0,82.0,8.0,20.0,0.211,0.421,0.253,25.6,20.0,21.1,0.265,0.454,0.293,37.5
642564,2017.0, Curveball,1.4,5.0,363.0,35.3,102.0,0.222,0.356,0.301,42.5,42.2,27.2,0.208,0.288,0.272,31.9
642564,2017.0, 4-Seamer,-0.3,-2.0,565.0,55.0,121.0,0.271,0.438,0.38,23.3,18.2,14.2,0.269,0.488,0.4,41.3
615698,2020.0, 4-Seamer,2.1,1.0,30.0,6.0,10.0,0.3,0.7,0.415,37.5,50.0,29.4,0.205,0.602,0.299,60.0
615698,2020.0, Changeup,2.8,2.0,54.0,10.7,15.0,0.231,0.308,0.357,28.0,13.3,12.5,0.199,0.239,0.256,18.2
615698,2020.0, Slider,-0.2,0.0,178.0,35.3,52.0,0.294,0.51,0.375,25.6,17.3,15.3,0.298,0.551,0.346,42.9
615698,2020.0, Sinker,-2.9,-7.0,242.0,48.0,57.0,0.208,0.208,0.261,21.6,26.3,34.9,0.223,0.285,0.286,17.6
615698,2019.0, Curveball,0.1,0.0,69.0,3.9,10.0,0.25,0.75,0.395,10.5,0.0,0.0,0.325,0.523,0.355,11.1
