id,Year,Pitch,Team,Hand,#,MPH,Inches of Drop,vs Avg,% vs Avg,Inches of Break,vs Avg,% Break vs Avg
607231,2016.0,Changeup, ATL , R,215.0,81.0,33.7,2.1,7.0,13.5,0.8,7.0
607231,2016.0,Curveball, ATL , R,173.0,75.8,63.1,5.4,9.0,7.4,-1.6,-17.0
607231,2016.0,Sinker, ATL , R,9.0,92.3,14.4,-5.0,-26.0,16.2,1.8,12.0
607231,2016.0,Cutter, ATL , R,1.0,88.9,9.3,15.0,62.0,8.0,-8.5,-1691.0
457567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591701,2017.0,Changeup, CIN , R,21.0,81.4,32.0,-2.7,-8.0,17.2,2.7,19.0
591701,2017.0,Curveball, CIN , R,46.0,80.0,39.3,-9.5,-19.0,3.4,-7.2,-68.0
591701,2017.0,Sinker, CIN , R,13.0,87.2,27.8,0.3,1.0,19.3,3.9,26.0
591701,2017.0,4-Seamer, CIN , R,48.0,88.5,21.5,-2.0,-10.0,16.1,7.3,83.0
460283,2019.0,4-Seamer, ATL , L,238.0,88.7,19.7,-0.6,-3.0,8.3,1.1,16.0
460283,2019.0,Changeup, ATL , L,46.0,82.9,30.9,-2.9,-9.0,11.6,-2.6,-19.0
460283,2019.0,Curveball, ATL , L,274.0,72.3,60.0,-1.0,-2.0,14.7,1.2,9.0
460283,2018.0,Changeup, NYM , L,66.0,83.1,29.8,-3.5,-11.0,13.3,-0.7,-5.0
460283,2018.0,4-Seamer, NYM , L,403.0,88.7,19.2,-0.5,-3.0,8.3,1.2,18.0
460283,2018.0,Curveball, NYM , L,310.0,72.1,61.4,-2.6,-4.0,14.4,1.7,14.0
460283,2017.0,4-Seamer, NYM , L,407.0,88.9,19.5,-1.3,-7.0,8.5,0.1,2.0
460283,2017.0,Sinker, NYM , L,7.0,88.3,26.6,1.2,5.0,13.7,-1.4,-9.0
