id,type,proportion
543456,4-Seam Fastball,28.5%
543456,Cutter,18.4%
543456,Changeup,7.6%
543456,Curveball,6.9%
434665,Sinker,56.8%
434665,Curveball,19.4%
434665,4-Seam Fastball,11.9%
434665,Split Finger,6.5%
434665,Cutter,5.4%
571951,4-Seam Fastball,60.9%
571951,Curveball,18.1%
571951,Cutter,14.3%
571951,Changeup,6.2%
571951,Sinker,0.5%
433589,4-Seam Fastball,42.5%
433589,Cutter,28.6%
433589,Changeup,18.1%
433589,Curveball,10.8%
455119,Sinker,40.4%
455119,Slider,25.9%
455119,Cutter,18.8%
455119,Changeup,10.3%
455119,4-Seam Fastball,4.6%
429440,NA,NA
670036,4-Seam Fastball,46.2%
670036,Slider,39.4%
670036,Curveball,7.3%
670036,Sinker,6.3%
670036,Cutter,0.8%
474463,Sinker,40.6%
474463,Changeup,23.9%
474463,Cutter,11.8%
474463,Slider,11%
474463,Curveball,10.5%
474463,4-Seam Fastball,2.1%
458720,NA,NA
435618,NA,NA
650382,4-Seam Fastball,72.7%
650382,Slider,24.4%
650382,Curveball,2.8%
434378,4-Seam Fastball,54.8%
434378,Slider,37%
434378,Changeup,6.8%
434378,Curveball,1.4%
519326,4-Seam Fastball,50.8%
519326,Slider,41%
519326,Sinker,6.6%
519326,Changeup,1.6%
446399,Curveball,36.7%
446399,Sinker,19.7%
446399,4-Seam Fastball,17.9%
446399,Cutter,16.3%
446399,Changeup,9.3%
444520,Sinker,58.7%
444520,Curveball,19.2%
444520,Changeup,18.4%
444520,4-Seam Fastball,3.7%
502462,Slider,47.1%
502462,4-Seam Fastball,28.6%
502462,Sinker,13.1%
502462,Curveball,11.2%
594857,4-Seam Fastball,68.8%
594857,Slider,31.2%
593958,4-Seam Fastball,38.6%
593958,Changeup,24.1%
593958,Cutter,16.3%
593958,Sinker,15.6%
593958,Curveball,3.3%
593958,Slider,2.1%
501989,NA,NA
430661,Slider,33.2%
430661,4-Seam Fastball,31.7%
430661,Sinker,28%
430661,Changeup,7.1%
501936,4-Seam Fastball,39.3%
501936,Sinker,26.2%
501936,Slider,19.7%
501936,Changeup,14.8%
571893,4-Seam Fastball,59.7%
571893,Changeup,21.5%
571893,Slider,18.8%
622446,Sinker,39.7%
622446,4-Seam Fastball,28.4%
622446,Curveball,23%
622446,Changeup,8.9%
277405,NA,NA
458708,Cutter,51%
458708,Curveball,26.1%
458708,4-Seam Fastball,18.4%
458708,Changeup,4%
458708,Sinker,0.5%
596074,4-Seam Fastball,65.8%
596074,Changeup,18.2%
596074,Slider,15.1%
596074,Curveball,0.9%
573244,4-Seam Fastball,54.6%
573244,Changeup,19.5%
573244,Curveball,12.9%
573244,Slider,12.6%
