name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Brandon Lyon,HOU,--,--,3.42,--,--,--,--,--,--,26.1,29,10,10,0,1,0,14,1.10,.279,https://www.mlb.com/player/407193
Ryan Perry,DET,--,--,3.81,--,--,--,--,--,--,26.0,19,11,11,3,2,0,12,0.73,.213,https://www.mlb.com/player/543634
Chris Capuano,MIL,--,--,3.12,--,--,--,--,--,--,26.0,28,9,9,4,0,0,17,1.08,.280,https://www.mlb.com/player/425626
Aaron Heilman,ARI,--,--,4.21,--,--,--,--,--,--,25.2,27,13,12,4,2,0,20,1.05,.265,https://www.mlb.com/player/408310
Jonathan Papelbon,BOS,--,--,4.21,--,--,--,--,--,--,25.2,23,13,12,3,1,0,29,0.90,.237,https://www.mlb.com/player/449097
Joakim Soria,KC,--,--,2.10,--,--,--,--,--,--,25.2,17,6,6,1,1,0,19,0.66,.191,https://www.mlb.com/player/465657
Craig Breslow,OAK,--,--,3.86,--,--,--,--,--,--,25.2,22,12,11,4,0,0,26,0.86,.227,https://www.mlb.com/player/444520
Ryan Franklin,STL,--,--,3.86,--,--,--,--,--,--,25.2,26,11,11,2,2,0,11,1.01,.263,https://www.mlb.com/player/211041
Todd Coffey,MIL,--,--,2.84,--,--,--,--,--,--,25.1,21,10,8,3,1,0,18,0.83,.231,https://www.mlb.com/player/434298
Darren Oliver,TEX,--,--,2.49,--,--,--,--,--,--,25.1,20,8,7,2,0,0,20,0.79,.235,https://www.mlb.com/player/119984
Mitchell Boggs,STL,--,--,4.32,--,--,--,--,--,--,25.0,25,13,12,3,2,0,22,1.00,.255,https://www.mlb.com/player/459939
Pedro Feliciano,NYM,--,--,2.19,--,--,--,--,--,--,24.2,21,6,6,0,1,0,16,0.85,.239,https://www.mlb.com/player/408230
Dustin Moseley,NYY,--,--,4.74,--,--,--,--,--,--,24.2,27,13,13,4,1,0,8,1.09,.287,https://www.mlb.com/player/400291
Neftali Feliz,TEX,--,--,2.92,--,--,--,--,--,--,24.2,13,8,8,2,1,0,23,0.53,.153,https://www.mlb.com/player/491703
Casey Janssen,TOR,--,--,3.28,--,--,--,--,--,--,24.2,28,10,9,4,2,0,18,1.14,.283,https://www.mlb.com/player/445163
Tony Sipp,CLE,--,--,4.81,--,--,--,--,--,--,24.1,19,14,13,4,1,0,23,0.78,.221,https://www.mlb.com/player/448609
Mariano Rivera,NYY,--,--,1.11,--,--,--,--,--,--,24.1,13,5,3,0,2,0,18,0.53,.153,https://www.mlb.com/player/121250
Chad Gaudin,NYY,--,--,5.63,--,--,--,--,--,--,24.0,33,17,15,7,3,0,18,1.38,.327,https://www.mlb.com/player/429985
Joel Hanrahan,PIT,--,--,2.25,--,--,--,--,--,--,24.0,23,6,6,1,1,0,30,0.96,.247,https://www.mlb.com/player/430629
Kyle Farnsworth,ATL,--,--,4.94,--,--,--,--,--,--,23.2,26,13,13,2,2,0,11,1.10,.283,https://www.mlb.com/player/150035
David Hernandez,BAL,--,--,4.18,--,--,--,--,--,--,23.2,25,11,11,2,1,0,14,1.06,.269,https://www.mlb.com/player/456696
Manny Corpas,COL,--,--,5.70,--,--,--,--,--,--,23.2,30,16,15,5,0,0,13,1.27,.303,https://www.mlb.com/player/466918
Kameron Loe,MIL,--,--,2.66,--,--,--,--,--,--,23.2,23,10,7,4,2,0,17,0.97,.258,https://www.mlb.com/player/434180
Jesse Crain,MIN,--,--,2.66,--,--,--,--,--,--,23.2,24,10,7,2,0,0,21,1.01,.261,https://www.mlb.com/player/430884
James McDonald,PIT,--,--,4.94,--,--,--,--,--,--,23.2,22,13,13,2,0,0,27,0.93,.242,https://www.mlb.com/player/457428
Sergio Santos,CWS,--,--,1.16,--,--,--,--,--,--,23.1,16,3,3,0,1,0,28,0.69,.190,https://www.mlb.com/player/435045
Matt Thornton,CWS,--,--,1.16,--,--,--,--,--,--,23.1,13,3,3,0,0,0,24,0.56,.165,https://www.mlb.com/player/407819
Robinson Tejeda,KC,--,--,3.09,--,--,--,--,--,--,23.1,18,9,8,1,0,0,16,0.77,.217,https://www.mlb.com/player/434565
Brad Ziegler,OAK,--,--,1.54,--,--,--,--,--,--,23.1,14,4,4,1,3,0,10,0.60,.177,https://www.mlb.com/player/446899
Dana Eveland,PIT,--,--,5.40,--,--,--,--,--,--,23.1,34,14,14,1,1,0,7,1.46,.351,https://www.mlb.com/player/445968
Heath Bell,SD,--,--,0.77,--,--,--,--,--,--,23.1,16,3,2,0,0,0,22,0.69,.200,https://www.mlb.com/player/425514
Sean Burnett,WSH,--,--,0.77,--,--,--,--,--,--,23.1,22,3,2,0,0,0,24,0.94,.239,https://www.mlb.com/player/430634
Blaine Boyer,ARI,--,--,3.91,--,--,--,--,--,--,23.0,20,13,10,0,0,0,8,0.87,.250,https://www.mlb.com/player/430641
Logan Ondrusek,CIN,--,--,4.30,--,--,--,--,--,--,23.0,23,12,11,3,0,0,16,1.00,.250,https://www.mlb.com/player/446185
Brad Thomas,DET,--,--,3.52,--,--,--,--,--,--,23.0,23,10,9,1,0,0,6,1.00,.267,https://www.mlb.com/player/346801
Brian Sanches,FLA,--,--,1.96,--,--,--,--,--,--,23.0,10,6,5,1,0,0,14,0.43,.133,https://www.mlb.com/player/430083
Juan Carlos Oviedo,FLA,--,--,3.91,--,--,--,--,--,--,23.0,20,10,10,1,0,0,22,0.87,.241,https://www.mlb.com/player/434663
Trevor Bell,LAA,--,--,2.35,--,--,--,--,--,--,23.0,27,7,6,0,0,0,20,1.17,.293,https://www.mlb.com/player/457707
Kevin Jepsen,LAA,--,--,3.91,--,--,--,--,--,--,23.0,21,10,10,1,0,0,21,0.91,.256,https://www.mlb.com/player/448178
Todd Wellemeyer,SF,--,--,6.26,--,--,--,--,--,--,23.0,23,16,16,4,1,0,14,1.00,.277,https://www.mlb.com/player/425487
Jason Marquis,WSH,--,--,6.65,--,--,--,--,--,--,23.0,25,20,17,5,2,0,15,1.09,.284,https://www.mlb.com/player/150302
Casey Coleman,CHC,--,--,4.76,--,--,--,--,--,--,22.2,20,13,12,2,0,0,4,0.88,.235,https://www.mlb.com/player/488787
Gil Meche,KC,--,--,5.96,--,--,--,--,--,--,22.2,25,15,15,3,0,0,13,1.10,.281,https://www.mlb.com/player/219194
Ryan Madson,PHI,--,--,2.38,--,--,--,--,--,--,22.2,17,7,6,2,2,0,20,0.75,.207,https://www.mlb.com/player/425492
Chan Ho Park,PIT,--,--,3.18,--,--,--,--,--,--,22.2,24,8,8,4,1,0,18,1.06,.270,https://www.mlb.com/player/120221
Javier Lopez,SF,--,--,3.18,--,--,--,--,--,--,22.2,22,9,8,1,0,0,16,0.97,.272,https://www.mlb.com/player/425657
