name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Clayton Kershaw,LAD,--,--,2.70,--,--,--,--,--,--,53.1,38,19,16,3,1,19,58,1.07,.201,https://www.mlb.com/player/477132
Scott Kazmir,LAA,--,--,7.64,--,--,--,--,--,--,53.0,62,47,45,9,3,27,29,1.68,.298,https://www.mlb.com/player/431148
Francisco Liriano,MIN,--,--,5.09,--,--,--,--,--,--,53.0,46,30,30,4,5,19,56,1.23,.237,https://www.mlb.com/player/434538
Matt Cain,SF,--,--,5.13,--,--,--,--,--,--,52.2,59,33,30,8,0,24,41,1.58,.294,https://www.mlb.com/player/430912
Wade LeBlanc,SD,--,--,4.15,--,--,--,--,--,--,52.0,52,24,24,11,1,15,42,1.29,.263,https://www.mlb.com/player/453281
Andy Sonnanstine,TB,--,--,4.33,--,--,--,--,--,--,52.0,55,25,25,7,4,14,34,1.33,.271,https://www.mlb.com/player/458567
Rick Porcello,DET,--,--,5.40,--,--,--,--,--,--,51.2,50,33,31,3,5,17,20,1.30,.258,https://www.mlb.com/player/519144
Kanekoa Texeira,KC,--,--,4.53,--,--,--,--,--,--,51.2,59,28,26,3,2,18,23,1.49,.298,https://www.mlb.com/player/444427
Randy Wells,CHC,--,--,5.96,--,--,--,--,--,--,51.1,57,38,34,3,1,19,34,1.48,.275,https://www.mlb.com/player/448694
Yovani Gallardo,MIL,--,--,5.79,--,--,--,--,--,--,51.1,49,40,33,5,2,23,57,1.40,.245,https://www.mlb.com/player/451596
John Lannan,WSH,--,--,3.51,--,--,--,--,--,--,51.1,52,24,20,4,1,17,24,1.34,.267,https://www.mlb.com/player/458709
John Danks,CWS,--,--,5.65,--,--,--,--,--,--,51.0,48,35,32,4,2,17,41,1.27,.251,https://www.mlb.com/player/433579
Ross Ohlendorf,PIT,--,--,3.53,--,--,--,--,--,--,51.0,42,21,20,4,3,19,31,1.20,.232,https://www.mlb.com/player/456027
Cliff Lee,TEX,--,--,3.88,--,--,--,--,--,--,51.0,44,25,22,5,1,5,33,0.96,.238,https://www.mlb.com/player/424324
Nick Blackburn,MIN,--,--,6.70,--,--,--,--,--,--,49.2,69,41,37,8,1,12,18,1.63,.333,https://www.mlb.com/player/448147
Johan Santana,NYM,--,--,3.62,--,--,--,--,--,--,49.2,51,20,20,3,1,10,41,1.23,.271,https://www.mlb.com/player/276371
Adam Wainwright,STL,--,--,3.81,--,--,--,--,--,--,49.2,47,24,21,5,2,10,48,1.15,.261,https://www.mlb.com/player/425794
Daisuke Matsuzaka,BOS,--,--,4.41,--,--,--,--,--,--,49.0,38,25,24,2,3,16,50,1.10,.222,https://www.mlb.com/player/493137
Bronson Arroyo,CIN,--,--,4.78,--,--,--,--,--,--,49.0,35,27,26,5,3,17,26,1.06,.201,https://www.mlb.com/player/276520
Tim Hudson,ATL,--,--,4.84,--,--,--,--,--,--,48.1,44,27,26,7,2,21,32,1.34,.240,https://www.mlb.com/player/218596
