player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Corey Dickerson,LF,TB,--,13,12,1,0,0,0,2,0,4,0,0,.077,.077,.077,.154,https://www.mlb.com/player/572816
Jose Lobaton,C,WSH,--,6,0,0,0,0,0,1,1,1,0,0,.000,.143,.000,.143,https://www.mlb.com/player/446653
Matt Olson,1B,OAK,--,7,4,0,0,0,0,1,1,3,0,0,.000,.125,.000,.125,https://www.mlb.com/player/621566
Robinson Chirinos,C,TEX,--,7,7,0,0,0,0,1,1,3,0,0,.000,.125,.000,.125,https://www.mlb.com/player/455139
Chris Young,LF,BOS,--,8,5,0,0,0,0,2,1,2,0,0,.000,.100,.000,.100,https://www.mlb.com/player/455759
Zack Godley,P,ARI,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/643327
Emilio Bonifacio,LF,ARI,--,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/466988
Nick Ahmed,SS,ARI,--,4,3,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/605113
Ketel Marte,2B,ARI,--,5,2,0,0,0,0,1,0,2,0,0,.000,.000,.000,.000,https://www.mlb.com/player/606466
Taijuan Walker,P,ARI,--,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/592836
Patrick Corbin,P,ARI,--,1,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/571578
Shelby Miller,P,ARI,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/571946
Ildemaro Vargas,2B,ARI,--,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/545121
Rey Fuentes,CF,ARI,--,4,3,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/571681
John Ryan Murphy,C,ARI,--,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/571974
Jeremy Hazelbaker,CF,ARI,--,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/571757
Max Fried,P,ATL,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/608331
